trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
60,False,"{'a': 0.25, 'e': 0.8377797845229938}",20,0,-121.43738304723307,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
61,False,"{'a': 0.25, 'e': 0.835270211411272}",25,1,-48.775651671719594,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 1}",1
62,False,"{'a': 0.25, 'e': 0.832768155737091}",25,0,-207.58777251813024,"{0: 13, 1: 3, 2: 3, 3: 3, 4: 3}",0
63,False,"{'a': 0.25, 'e': 0.8302735949819328}",20,0,-105.70897514445112,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
64,False,"{'a': 0.25, 'e': 0.8277865066947336}",30,0,-177.38930282630452,"{0: 15, 1: 5, 2: 7, 3: 1, 4: 2}",0
65,False,"{'a': 0.25, 'e': 0.8253068684916824}",30,0,-155.78221682451982,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
66,False,"{'a': 0.25, 'e': 0.8228346580560184}",25,0,-284.89725776591143,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 5}",0
67,False,"{'a': 0.25, 'e': 0.8203698531378311}",20,0,-65.81391843708613,"{0: 14, 1: 2, 2: 1, 3: 3, 4: 0}",0
68,False,"{'a': 0.25, 'e': 0.8179124315538594}",25,0,-77.38650980198791,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
69,False,"{'a': 0.25, 'e': 0.8154623711872927}",25,0,-197.69243101006623,"{0: 13, 1: 4, 2: 3, 3: 2, 4: 3}",0
70,False,"{'a': 0.25, 'e': 0.813019649987571}",20,0,-219.39319379362627,"{0: 9, 1: 3, 2: 3, 3: 1, 4: 4}",0
71,False,"{'a': 0.25, 'e': 0.8105842459701871}",25,0,-280.24141013521114,"{0: 9, 1: 0, 2: 11, 3: 1, 4: 4}",0
72,False,"{'a': 0.25, 'e': 0.8081561372164884}",30,0,-107.55592542576292,"{0: 18, 1: 6, 2: 5, 3: 0, 4: 1}",0
73,False,"{'a': 0.25, 'e': 0.8057353018734796}",25,0,-60.29614002708935,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
74,False,"{'a': 0.25, 'e': 0.8033217181536265}",20,0,-83.8131856300237,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
75,False,"{'a': 0.25, 'e': 0.8009153643346592}",25,18,-2.4282547435293678,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.25, 'e': 0.7985162187593771}",20,0,-182.23197219157453,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
77,False,"{'a': 0.25, 'e': 0.7961242598354538}",25,3,-82.962738898347,"{0: 13, 1: 4, 2: 2, 3: 3, 4: 0}",1
78,False,"{'a': 0.25, 'e': 0.7937394660352428}",25,0,-166.0278165007782,"{0: 14, 1: 0, 2: 8, 3: 1, 4: 2}",0
79,False,"{'a': 0.25, 'e': 0.7913618158955839}",25,0,-43.74155997422811,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
80,False,"{'a': 0.25, 'e': 0.7889912880176096}",25,0,-127.20768341801687,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
